wID	w1cs	lemma	PoS
7746	Oxford	oxford	np1
7747	preceding	preceding	jj
7748	tended	tend	vvd
7749	lovers	lover	nn2
7750	hazardous	hazardous	jj
7751	Best	best	jjt
7752	globe	globe	nn1
7753	gaining	gain	vvg
7754	purely	purely	rr
7755	hope	hope	vv0_nn1
7756	teenager	teenager	nn1
7757	reasonably	reasonably	rr
7758	arrive	arrive	vv0
7759	I	i	ppis1_zz1@
7760	falls	fall	vvz
7761	investigating	investigate	vvg
7762	zones	zone	nn2
7763	tied	tie	vvn_vvd
7764	working	working	jj@
7765	arrives	arrive	vvz
7766	desirable	desirable	jj
7767	input	input	nn1
7768	Montgomery	montgomery	np1
7769	bet	bet	vv0
7770	Perry	perry	np1
7771	slope	slope	nn1
7772	unlike	unlike	ii@
7773	sofa	sofa	nn1
7774	radar	radar	nn1
7775	prior	prior	jj
7776	Airport	airport	nn1
7777	rejection	rejection	nn1
7778	therapist	therapist	nn1
7779	conversion	conversion	nn1
7780	cart	cart	nn1
7781	developers	developer	nn2
7782	fog	fog	nn1
7783	10%	10%	m#
7784	hint	hint	nn1
7785	Little	little	jj
7786	nails	nail	nn2
7787	Nevada	nevada	np1
7788	Gingrich	gingrich	np1
7789	breathe	breathe	vvi
7790	losing	lose	vvg_jj@
7791	Girl	girl	nn1
7792	Malcolm	malcolm	np1
7793	high-tech	high-tech	jj_nn1
7794	dumb	dumb	jj
7795	oak	oak	nn1
7796	excited	excited	jj
7797	$5	$5	m$
7798	franchise	franchise	nn1
7799	Nathan	nathan	np1
7800	videos	video	nn2
7801	purple	purple	jj
7802	perceived	perceived	jj@
7803	inmates	inmate	nn2
7804	fatal	fatal	jj
7805	Brooks	brooks	np1
7806	hurricane	hurricane	nn1
7807	deals	deal	nn2
7808	considerations	consideration	nn2
7809	observing	observe	vvg
7810	positively	positively	rr
7811	suits	suit	nn2
7812	defeat	defeat	nn1
7813	spread	spread	vvi
7814	conducting	conduct	vvg
7815	applies	apply	vvz
7816	sciences	science	nn2
7817	Resources	resource	nn2
7818	revealed	reveal	vvn
7819	straw	straw	nn1
7820	grandparents	grandparent	nn2
7821	calls	call	nn2_vvz
7822	warfare	warfare	nn1
7823	tender	tender	jj
7824	jaw	jaw	nn1
7825	fighter	fighter	nn1
7826	IV	iv	mc
7827	measurements	measurement	nn2
7828	shared	share	vvd
7829	regard	regard	nn1
7830	reservations	reservation	nn2
7831	magic	magic	jj_nn1
7832	imagined	imagine	vvd
7833	concluded	conclude	vvd
7834	cut	cut	vvn_vv0
7835	added	add	vvd_vvn
7836	accent	accent	nn1
7837	avoiding	avoid	vvg
7838	Rio	rio	np1
7839	container	container	nn1
7840	nevertheless	nevertheless	rr
7841	Southeast	southeast	nd1
7842	Mason	mason	np1
7843	filled	fill	vvd_vvn
7844	over	over	rl21
7845	entered	enter	vvn
7846	vary	vary	vv0
7847	committees	committee	nn2
7848	beginning	begin	vvg_nn1
7849	Blair	blair	np1
7850	Otherwise	otherwise	rr
7851	legendary	legendary	jj
7852	carrier	carrier	nn1
7853	del	del	fw
7854	Secretary	secretary	nn1_np1@
7855	meaning	meaning	nn1_vvg
7856	holidays	holiday	nn2
7857	graduation	graduation	nn1
7858	grin	grin	nn1
7859	summary	summary	nn1
7860	liberals	liberal	nn2
7861	confirmed	confirm	vvn
7862	starting	start	vvg_nn1
7863	laundry	laundry	nn1
7864	high	high	rr@_jj
7865	Eight	eight	mc
7866	developing	develop	vvg_jj
7867	catching	catch	vvg
7868	commerce	commerce	nn1
7869	responded	respond	vvd
7870	Broadway	broadway	np1_nn1
7871	played	play	vvn_vvd
7872	concentrate	concentrate	vvi
7873	approached	approach	vvd
7874	hydrogen	hydrogen	nn1
7875	comparing	compare	vvg
7876	Bring	bring	vv0
7877	conferences	conference	nn2
7878	balanced	balanced	jj
7879	caused	cause	vvd
7880	disappointment	disappointment	nn1
7881	Imagine	imagine	vv0
7882	Call	call	vv0
7883	travelers	traveler	nn2
7884	awake	awake	jj
7885	hence	hence	rr
7886	sought	seek	vvn
7887	pump	pump	nn1
7888	accomplished	accomplish	vvn
7889	enable	enable	vvi
7890	understanding	understand	vvg
7891	quit	quit	vvi
7892	rescue	rescue	nn1
7893	very	very	jj@_rg
7894	marine	marine	jj
7895	Assembly	assembly	nn1
7896	bat	bat	nn1
7897	Harvey	harvey	np1
7898	soap	soap	nn1
7899	Idaho	idaho	np1
7900	Nation	nation	nn1
7901	produced	produce	vvd
7902	arriving	arrive	vvg
7903	lamp	lamp	nn1
7904	maintained	maintain	vvn
7905	bit	bit	rr22_nn1
7906	economists	economist	nn2
7907	suffer	suffer	vv0
7908	Orlando	orlando	np1
7909	cry	cry	nn1
7910	Glenn	glenn	np1
7911	authentic	authentic	jj
7912	detective	detective	nn1
7913	graphics	graphic	nn
7914	more	more	rrr_rgr_dar
7915	cross	cross	nn1
7916	Apparently	apparently	rr
7917	Gerald	gerald	np1
7918	11th	11th	md
7919	estimate	estimate	nn1
7920	snake	snake	nn1
7921	vocal	vocal	jj
7922	served	serve	vvd_vvn
7923	99	99	mc
7924	toll	toll	nn1
7925	Argentina	argentina	np1
7926	fantastic	fantastic	jj
7927	loses	lose	vvz
7928	snapped	snap	vvd
7929	react	react	vvi
7930	rolled	roll	vvd
7931	legislature	legislature	nn1
7932	changing	changing	jj_vvg
7933	yellow	yellow	jj_nn1@
7934	economist	economist	nn1
7935	Recently	recently	rr
7936	3/4	3/4	mf
7937	Story	story	nn1
7938	inventory	inventory	nn1
7939	promised	promise	vvn
7940	Nonetheless	nonetheless	rr
7941	tire	tire	vv0
7942	palace	palace	nn1
7943	elite	elite	nn1
7944	draws	draw	vvz
7945	hook	hook	nn1
7946	lower	lower	vvi
7947	requests	request	nn2
7948	completion	completion	nn1
7949	sensation	sensation	nn1
7950	ounces	ounce	nnu2
7951	feeling	feeling	nn1_vvg
7952	mandatory	mandatory	jj
7953	Somebody	somebody	pn1
7954	in.	in	ii
7955	links	link	nn2
7956	considered	consider	vvd_vvn
7957	suspension	suspension	nn1
7958	but	but	ii21_ccb
7959	Both	both	rr
7960	by	by	rt21
7961	capitalism	capitalism	nn1
7962	Jupiter	jupiter	np1
7963	can	can	vv0%_vm
7964	puzzle	puzzle	nn1
7965	closes	close	vvz
7966	acute	acute	jj
7967	Lady	lady	nn1
7968	affirmative	affirmative	jj_nn1
7969	cover	cover	vv0
7970	Kosovo	kosovo	np1
7971	like	like	cs%_ii_rr%
7972	by	by	ii31
7973	psychologists	psychologist	nn2
7974	instance	instance	nn1
7975	fill	fill	vv0
7976	uniform	uniform	nn1_jj
7977	lawmakers	lawmaker	nn2
7978	prayers	prayer	nn2
7979	realities	reality	nn2
7980	monitor	monitor	vvi
7981	torn	tear	vvn
7982	fatigue	fatigue	nn1
7983	middle-class	middle-class	jj
7984	vinegar	vinegar	nn1
7985	corporation	corporation	nn1
7986	Bridge	bridge	nn1
7987	columns	column	nn2
7988	shirts	shirt	nn2
7989	Wildlife	wildlife	nn1
7990	tray	tray	nn1
7991	Panama	panama	np1
7992	IRS	irs	nn1
7993	rubber	rubber	jj_nn1
7994	Dakota	dakota	np1
7995	Milwaukee	milwaukee	np1
7996	forces	force	nn2_vvz@
7997	electoral	electoral	jj
7998	for	for	cs%
7999	forth	forth	rr33
8000	flat	flat	jj
8001	galaxy	galaxy	nn1
8002	Joyce	joyce	np1
8003	Gaza	gaza	np1
8004	explanations	explanation	nn2
8005	uses	use	nn2
8006	exit	exit	nn1
8007	blown	blow	vvn
8008	medieval	medieval	jj
8009	threshold	threshold	nn1
8010	account	account	nn1_vv0
8011	handle	handle	nn1
8012	1963	1963	mc
8013	du	du	fw
8014	Patricia	patricia	np1
8015	push	push	vv0
8016	deciding	decide	vvg
8017	returns	return	nn2
8018	inspectors	inspector	nn2
8019	preventing	prevent	vvg
8020	compassion	compassion	nn1
8022	account	account	vvi
8023	put	put	vvn_vvd_vv0
8024	flat	flat	jj_nn1
8025	regimes	regime	nn2
8026	Louise	louise	np1
8027	clever	clever	jj
8028	way	way	rr22
8029	raised	raise	vvn_vvd
8030	stole	steal	vvd
8031	cord	cord	nn1
8032	square	square	jj_nn1
8033	systematic	systematic	jj
8034	Bank	bank	np1
8035	attacked	attack	vvn
8036	Emma	emma	np1
8037	Dorothy	dorothy	np1
8038	municipal	municipal	jj
8039	organize	organize	vvi
8040	impacts	impact	nn2
8041	gained	gain	vvn
8042	teen	teen	nn1
8043	streams	stream	nn2
8044	vacuum	vacuum	nn1
8045	routes	route	nn2
8046	theological	theological	jj
8047	prize	prize	nn1
8048	ppg	ppg	x         
8049	Source	source	nn1
8050	writings	writing	nn2
8051	sympathetic	sympathetic	jj
8052	mouse	mouse	nn1
8053	disabled	disabled	jj
8054	equation	equation	nn1
8055	countless	countless	jj
8056	exploring	explore	vvg
8057	strain	strain	nn1
8058	rolling	roll	vvg
8059	Consequently	consequently	rr
8060	profitable	profitable	jj
8061	involve	involve	vv0
8062	Fire	fire	nn1
8063	belong	belong	vv0
8064	morality	morality	nn1
8065	statute	statute	nn1
8066	struck	strike	vvd_vvn
8067	71	71	mc
8068	lock	lock	nn1
8069	compound	compound	nn1
8070	kissed	kiss	vvd
8072	likely	likely	rr@_jj
8073	exercise	exercise	vvi
8074	changed	change	vvn_vvd
8075	draw	draw	vv0
8076	competence	competence	nn1
8077	daily	daily	rr_jj
8078	Rita	rita	np1
8079	acquire	acquire	vvi
8080	sustain	sustain	vvi
8082	cargo	cargo	nn1
8083	Woods	woods	np1
8084	There	there	rl_ex
8085	finest	fine	jjt
8086	estimated	estimate	vvn
8087	Exchange	exchange	nn1
8088	Beverly	beverly	np1
8089	tubes	tube	nn2
8090	aisle	aisle	nn1
8091	age	age	nn1_vv0@
8092	prosperity	prosperity	nn1
8093	illusion	illusion	nn1
8094	Wood	wood	np1
8095	Cross	cross	nn1
8096	loved	love	vvn
8097	Authority	authority	nn1
8098	mass	mass	nn1_jj
8099	hearing	hear	vvg_nn1
8100	abstract	abstract	jj
8101	distributed	distribute	vvn
8102	operators	operator	nn2
8103	surveillance	surveillance	nn1
8104	insights	insight	nn2
8105	perform	perform	vv0
8106	E	e	zz1
8107	impose	impose	vvi
8108	but	but	ii_ccb
8109	developed	develop	vvn_vvd
8110	rehabilitation	rehabilitation	nn1
8111	rocket	rocket	nn1
8112	$2	$2	m$
8113	shortage	shortage	nn1
8114	69	69	mc
8115	93	93	mc
8116	pillow	pillow	nn1
8117	rookie	rookie	nn1
8118	drawer	drawer	nn1
8119	multiple	multiple	jj
8120	way	way	nn1_rr%
8121	husbands	husband	nn2
8122	hey	hey	uh
8123	immigrant	immigrant	jj_nn1
8124	JOHN	john	np1
8125	subsequently	subsequently	rr
8126	Marcus	marcus	np1
8127	purchase	purchase	vvi
8128	switch	switch	nn1
8129	pencil	pencil	nn1
8130	shooting	shooting	nn1
8131	sheriff	sheriff	nn1
8132	Sue	sue	np1
8133	beard	beard	nn1
8134	Channel	channel	nn1
8135	litigation	litigation	nn1
8136	insist	insist	vv0
8137	abruptly	abruptly	rr
8138	94	94	mc
8139	tourism	tourism	nn1
8140	talks	talk	nn2_vvz@
8141	pulse	pulse	nn1
8142	assumed	assume	vvn
8143	rushing	rush	vvg
8144	organ	organ	nn1
8145	demonstrates	demonstrate	vvz
8146	advisers	adviser	nn2
8147	male	male	jj
8148	maintain	maintain	vv0
8149	bid	bid	nn1
8150	regulators	regulator	nn2
8151	spouse	spouse	nn1
8152	convenience	convenience	nn1
8153	Girls	girl	nn2
8154	placed	place	vvn_vvd@
8155	crystal	crystal	nn1
8156	stepping	step	vvg
8157	passes	pass	vvz
8158	laying	lay	vvg
8159	hopeful	hopeful	jj
8160	trauma	trauma	nn1
8161	operator	operator	nn1
8162	booth	booth	nn1
8163	prisoner	prisoner	nn1
8164	doubts	doubt	nn2
8165	translation	translation	nn1
8166	diameter	diameter	nn1
8167	distinguish	distinguish	vvi
8168	bloody	bloody	jj
8169	either	either	dd1_rr
8170	medal	medal	nn1
8171	That	that	rex21
8172	Stuart	stuart	np1
8173	whoever	whoever	pnqv
8174	breaks	break	vvz
8175	a	a	rr31@
8176	statue	statue	nn1
8177	Ridge	ridge	nn1
8178	moving	move	vvg_jj@
8179	Ellis	ellis	np1
8180	reporting	report	vvg
8181	20,000	20,000	mc
8182	stolen	steal	vvn
8183	demanding	demand	vvg
8184	believing	believe	vvg
8185	pushes	push	vvz
8186	obligations	obligation	nn2
8187	Safety	safety	nn1
8188	earned	earn	vvn
8189	assessments	assessment	nn2
8190	Barnes	barnes	np1
8191	SD	sd	np1
8192	Katrina	katrina	np1
8193	explain	explain	vv0
8194	sandwich	sandwich	nn1
8195	workshop	workshop	nn1
8196	unclear	unclear	jj
8197	Redskins	redskin	nn2
8198	90s	90s	mc2
8199	feminist	feminist	jj_nn1
8200	placing	place	vvg
8201	produced	produce	vvn_vvd
8202	Makes	make	vvz
8203	organisms	organism	nn2
8204	wide	wide	jj_rr@
8205	advocacy	advocacy	nn1
8206	will	will	vm_nn1@
8207	conceptual	conceptual	jj
8208	track	track	vvi
8209	discovered	discover	vvn@
8210	wounds	wound	nn2
8211	adjust	adjust	vvi
8212	dance	dance	vvi
8213	angel	angel	nn1
8214	journals	journal	nn2
8215	sick	sick	jj_nn1@
8216	curtain	curtain	nn1
8217	rejected	reject	vvn
8218	replacing	replace	vvg
8219	imports	import	nn2
8220	denial	denial	nn1
8221	subsidies	subsidy	nn2
8222	closer	close	rrr
8223	break	break	vv0
8224	Sacramento	sacramento	np1
8225	73	73	mc
8226	devil	devil	nn1
8227	talks	talk	vvz@
8228	leading	leading	jj_vvg
8229	temporarily	temporarily	rr
8230	pots	pot	nn2
8231	least	least	rgt
8232	Good	good	jj_np1@
8233	Media	media	nn
8234	Elementary	elementary	jj
8235	distress	distress	nn1
8236	ignored	ignore	vvn
8237	Foster	foster	np1
8238	practitioners	practitioner	nn2
8239	passionate	passionate	jj
8240	limbs	limb	nn2
8241	leans	lean	vvz
8242	brains	brain	nn2
8243	trout	trout	nn
8244	ending	end	vvg
8245	Star	star	nn1_jj@
8246	Schools	school	nn2
8247	nominee	nominee	nn1
8248	helmet	helmet	nn1
8249	charged	charge	vvn_vvd
8250	like	like	jj@_rr%
8251	21st	21st	md
8252	Wendy	wendy	np1
8253	cautious	cautious	jj
8254	favorite	favorite	nn1_jj
8255	eyebrows	eyebrow	nn2
8256	bullets	bullet	nn2
8257	Team	team	nn1
8258	humanitarian	humanitarian	jj
8259	explained	explain	vvd_vvn
8260	Usually	usually	rr
8261	persistent	persistent	jj
8262	transport	transport	nn1
8263	clue	clue	nn1
8264	dropped	drop	vvn_vvd
8265	block	block	vvi
8266	narrator	narrator	nn1
8267	inclusion	inclusion	nn1
8268	confirmation	confirmation	nn1
8269	jungle	jungle	nn1
8270	observed	observe	vvd
8271	C	c	np1_zz1
8272	suspect	suspect	nn1
8273	appearing	appear	vvg
8274	conception	conception	nn1
8275	far	far	jj_rr
8276	Rev.	rev	nnb
8277	Out	out	ii21
8278	shy	shy	jj
8279	spine	spine	nn1
8280	remove	remove	vv0
8281	satisfy	satisfy	vvi
8282	reveal	reveal	vv0
8283	Federation	federation	nn1
8284	WE	we	ppis2
8285	crossed	cross	vvd
8286	interior	interior	jj_nn1
8287	catch	catch	nn1
8288	throw	throw	vv0
8289	affordable	affordable	jj
8290	faithful	faithful	jj
8292	delicious	delicious	jj
8293	Sidebar	sidebar	nn1_np1
8294	raising	raise	vvg_nn1
8295	gather	gather	vv0
8296	evolutionary	evolutionary	jj
8297	brass	brass	nn1
8298	74	74	mc
8299	closing	close	vvg
8300	upcoming	upcoming	jj
8301	statistically	statistically	rr
8302	courtesy	courtesy	nn1
8303	listening	listen	vvg_jj
8304	balance	balance	vvi
8305	Communications	communication	nn2
8306	Victor	victor	np1
8307	loved	love	vvd_vvn
8308	genre	genre	nn1
8309	tax	tax	nn1_vv0@
8310	notably	notably	rr
8311	cooking	cooking	nn1
8312	disposal	disposal	nn1
8313	more	more	rgr_dar_rrr
8314	lid	lid	nn1
8315	probability	probability	nn1
8316	performing	perform	vvg
8317	quite	quite	rr@_rg
8318	Saudi	saudi	jj
8319	comparisons	comparison	nn2
8320	descriptions	description	nn2
8321	observer	observer	nn1
8322	rotation	rotation	nn1
8323	tries	try	vvz_nn2
8324	own	own	vv0@
8325	problematic	problematic	jj
8326	encounter	encounter	nn1
8327	cows	cow	nn2
8328	entered	enter	vvd_vvn
8329	resolved	resolve	vvn
8330	Lord	lord	nn1_np1
8331	suffered	suffer	vvd
8332	usual	usual	rr22
8333	Maggie	maggie	np1
8334	Associated	associated	jj
8335	Anyone	anyone	pn1
8336	Harbor	harbor	nn1
8337	checked	check	vvd
8338	dies	die	vvz
8339	service	service	nn1_vv0@
8340	Unlike	unlike	ii@
8341	administrator	administrator	nn1
8342	touched	touch	vvn
8343	Gregory	gregory	np1
8344	counting	count	vvg
8345	Excuse	excuse	vv0
8346	Australian	australian	jj
8347	under	under	rr21
8348	daddy	daddy	nn1
8349	1950	1950	mc
8350	known	known	jj@
8351	hope	hope	nn1_vv0
8352	interactive	interactive	jj
8353	search	search	vvi
8354	review	review	vvi
8355	78	78	mc
8356	Oil	oil	nn1
8357	hats	hat	nn2
8358	sustainable	sustainable	jj
8359	single	single	jj_nn1@
8360	contained	contain	vvd_vvn
8361	Cal	calorie	nnu
8362	more	more	rr22
8363	lesser	lesser	jj
8364	lakes	lake	nn2
8365	smell	smell	vvi
8366	resulted	result	vvn_vvd
8367	convenient	convenient	jj
8368	countryside	countryside	nn1
8369	Stop	stop	vv0
8370	rates	rate	nn2_vvz@
8371	Coalition	coalition	nn1
8372	current	current	jj_nn1@
8373	out	out	ii
8374	homeland	homeland	nn1
8375	Venus	venus	np1
8376	fortunate	fortunate	jj
8377	land	land	vvi
8378	nest	nest	nn1
8379	businessman	businessman	nn1
8380	20%	20%	m#
8381	Catherine	catherine	np1
8382	nutrition	nutrition	nn1
8383	Jill	jill	np1
8384	now	now	rt_cs%
8385	mate	mate	nn1
8386	Vatican	vatican	np1
8387	lecture	lecture	nn1
8388	returned	return	vvd_vvn
8389	Cook	cook	np1
8390	Alfred	alfred	np1
8391	abandoned	abandon	vvn
8392	pursuing	pursue	vvg
8393	tribute	tribute	nn1
8394	point	point	nn1_vv0@
8395	meaning	mean	vvg
8396	log	log	nn1
8397	Already	already	rr
8398	grab	grab	vvi
8399	glimpse	glimpse	nn1
8400	peculiar	peculiar	jj
8401	goodness	goodness	nn1
8402	vitamin	vitamin	nn1
8403	fall	fall	nn1_vv0
8404	Tampa	tampa	np1
8405	legislators	legislator	nn2
8406	carriers	carrier	nn2
8407	meanwhile	meanwhile	rr
8408	Victoria	victoria	np1
8409	near	near	jj@
8410	hello	hello	uh
8411	loudly	loudly	rr
8412	respond	respond	vv0
8413	sentiment	sentiment	nn1
8414	female	female	jj
8415	namely	namely	rex
8416	appointed	appoint	vvn
8417	locker	locker	nn1
8418	stopped	stop	vvn_vvd
8419	liquid	liquid	jj_nn1
8420	cope	cope	vvi
8421	deadlines	deadline	nn2
8422	Action	action	nn1
8423	Once	once	rr21
8424	impressed	impress	vvn
8425	medium	medium	nn1_jj
8426	Cancer	cancer	nn1
8427	worldwide	worldwide	rl
8428	Stir	stir	vv0
8429	remaining	remaining	jj_vvg
8430	Jenny	jenny	np1
8431	steps	step	nn2_vvz@
8432	appeals	appeal	nn2
8433	identifying	identify	vvg
8434	circulation	circulation	nn1
8435	created	create	vvn_vvd
8436	Airlines	airline	nn2
8437	gates	gate	nn2
8438	remarkably	remarkably	rr
8440	timber	timber	nn1
8441	needle	needle	nn1
8442	ashamed	ashamed	jj
8443	in	in	rr21_ii
8445	glow	glow	nn1
8446	separate	separate	vvi
8447	lead	lead	vv0
8448	reward	reward	nn1
8449	Following	follow	vvg_ii@
8450	buying	buy	vvg_nn1
8451	kiss	kiss	nn1
8452	blond	blond	jj
8453	1962	1962	mc
8454	hit	hit	vvd_vv0@
8456	teammates	teammate	nn2
8457	remembering	remember	vvg
8458	artifacts	artifact	nn2
8459	Officer	officer	nn1
8460	unnecessary	unnecessary	jj
8461	Gibson	gibson	np1
8462	proved	prove	vvn
8463	Mickey	mickey	np1
8464	connect	connect	vvi
8465	emerges	emerge	vvz
8466	volunteer	volunteer	nn1
8467	drag	drag	vv0
8468	search	search	ii32
8469	gray	gray	jj_nn1@
8470	lie	lie	nn1@
8471	covered	cover	vvd
8472	souls	soul	nn2
8473	ignoring	ignore	vvg
8474	tune	tune	nn1
8475	jurisdiction	jurisdiction	nn1
8476	plans	plan	vvz
8477	fire	fire	vvi
8478	Taking	take	vvg
8479	Star	star	nn1
8480	Somalia	somalia	np1
8481	Harrison	harrison	np1
8482	risen	rise	vvn
8483	standard	standard	jj
8484	strengths	strength	nn2
8485	warned	warn	vvd
8486	yelling	yell	vvg
8487	level	level	jj_nn1
8488	notions	notion	nn2
8489	expected	expected	jj
8490	relative	relative	ii21
8491	automobile	automobile	nn1
8492	duration	duration	nn1
8493	coach	coach	vv0_nn1
8494	expert	expert	nn1_jj@
8495	continually	continually	rr
8496	bearing	bear	vvg
8497	moves	move	nn2
8498	88	88	mc
8499	Ever	ever	rr
8500	hatred	hatred	nn1
8501	nationalism	nationalism	nn1
8502	encourage	encourage	vv0
8503	clinics	clinic	nn2
8504	cage	cage	nn1
8505	disappear	disappear	vvi
8506	surgical	surgical	jj
8507	Day	day	np1_nnt1
8508	introduced	introduce	vvd
8509	Research	research	nn1_vv0@
8510	confirm	confirm	vvi
8511	bureaucracy	bureaucracy	nn1
8512	specialty	specialty	nn1
8513	hierarchy	hierarchy	nn1
8514	legitimacy	legitimacy	nn1
8515	honestly	honestly	rr
8516	monitor	monitor	nn1
8517	urgent	urgent	jj
8518	herbs	herb	nn2
8519	hoped	hope	vvn
8520	guess	guess	vvi
8521	understanding	understanding	nn1_vvg
8522	concluded	conclude	vvd_vvn
8523	magic	magic	nn1_jj
8524	secure	secure	jj
8525	murders	murder	nn2
8526	hurts	hurt	vvz
8527	deal	deal	nn1_vv0
8528	reminder	reminder	nn1
8529	Lord	lord	nnb
8530	marble	marble	nn1
8531	repeat	repeat	vvi
8532	Together	together	rl
8533	transformed	transform	vvn
8534	analyze	analyze	vvi
8535	faced	face	vvd
8536	Andrea	andrea	np1
8537	Phoenix	phoenix	np1
8539	Hence	hence	rr
8540	monster	monster	nn1
8542	fishermen	fisherman	nn2
8543	surrounding	surrounding	jj
8544	identities	identity	nn2
8545	moisture	moisture	nn1
8546	medium	medium	nn1
8547	motives	motive	nn2
8548	love	love	vv0_nn1
8549	followers	follower	nn2
8550	hosts	host	nn2
8551	influences	influence	nn2
8552	abundance	abundance	nn1
8553	'S	be	vbz
8554	republic	republic	nn1
8555	transferred	transfer	vvn
8556	peer	peer	nn1
8557	upset	upset	jj
8558	organs	organ	nn2
8559	Clara	clara	np1
8560	al	al	np1_fw
8561	Le	le	np1
8562	Turkish	turkish	jj
8563	Whenever	whenever	rrqv
8564	junk	junk	nn1
8565	joined	join	vvd_vvn
8566	remained	remain	vvn
8567	so	so	rr22
8568	76	76	mc
8569	demonstrations	demonstration	nn2
8570	Uh-huh	uh-huh	uh
8571	Clarence	clarence	np1
8572	workshops	workshop	nn2
8573	editorial	editorial	jj_nn1
8574	realizing	realize	vvg
8575	little	little	rr_da1
8576	feel	feel	nn1%_vv0
8577	forum	forum	nn1
8578	record	record	vvi
8579	half	half	nn1@
8580	THIS	this	dd1
8581	's	's	zz222
8582	supervisor	supervisor	nn1
8583	spread	spread	vvn
8584	flame	flame	nn1
8585	apart	apart	ii21
8586	ministers	minister	nn2
8587	sunny	sunny	jj
8588	suit	suit	nn1_vv0
8589	guard	guard	nn1_vv0
8590	Mother	mother	nnb
8591	77	77	mc
8592	rely	rely	vv0
8593	wildly	wildly	rr
8595	mention	mention	nn1
8596	permitted	permit	vvn
8597	combine	combine	vv0
8598	train	train	vvi
8599	health-care	health-care	nn1
8600	broker	broker	nn1
8601	can	can	nn1%
8602	Mountain	mountain	nn1
8603	High	high	jj_rr@
8604	extending	extend	vvg
8605	geography	geography	nn1
8606	payroll	payroll	nn1
8607	bite	bite	nn1
8608	sought	seek	vvd_vvn
8609	Vietnamese	vietnamese	jj
8610	affection	affection	nn1
8611	best	best	rr22
8612	missing	missing	jj
8613	fit	fit	vv0
8614	triumph	triumph	nn1
8615	concerns	concern	nn2_vvz
8616	Memphis	memphis	np1
8617	hostage	hostage	nn1
8618	choosing	choose	vvg
8619	caught	catch	vvn_vvd
8620	Intelligence	intelligence	nn1
8621	M.D.	m.d	nna
8622	isolated	isolated	jj
8623	encourages	encourage	vvz
8624	all	all	rr41
8625	Bryant	bryant	np1
8626	General	general	jj
8627	aliens	alien	nn2
8628	governmental	governmental	jj
8629	prefer	prefer	vvi
8630	optimism	optimism	nn1
8631	Garcia	garcia	np1
8632	resulting	resulting	jj
8633	killed	kill	vvn_vvd
8634	Justin	justin	np1
8635	seeing	see	vvg_cs@
8636	ironic	ironic	jj
8637	earliest	early	jjt
8638	auction	auction	nn1
8639	refugee	refugee	nn1
8640	Jeremy	jeremy	np1
8641	Cape	cape	np1
8642	Against	against	ii
8643	polite	polite	jj
8644	more	more	rgr_rrr_dar
8645	evenly	evenly	rr
8646	1st	1st	md
8647	contrary	contrary	nn1_jj
8648	formally	formally	rr
8649	rather	rather	rr
8650	aloud	aloud	rr
8651	That	that	cst_dd1
8652	literacy	literacy	nn1
8653	processor	processor	nn1
8654	persuade	persuade	vvi
8655	contribute	contribute	vv0
8656	independently	independently	rr
8657	low	low	jj_nn1@
8658	Prince	prince	nn1
8659	reserves	reserve	nn2
8660	wrong	wrong	rr
8661	light	light	ii32
8662	Liberty	liberty	nn1
8663	Hurricane	hurricane	nn1
8664	N.C.	nc	np1
8665	mentioned	mention	vvd_vvn
8666	Amanda	amanda	np1
8667	6-3	6-3	mcmc
8668	Sweden	sweden	np1
8669	experienced	experienced	jj
8670	founded	found	vvn
8671	voted	vote	vvd
8672	N.	xx_n	np1
8673	deeper	deep	rrr_jjr
8674	palms	palm	nn2
8675	Coleman	coleman	np1
8676	harmony	harmony	nn1
8677	retain	retain	vvi
8678	Century	century	nnt1
8679	1.5	1.5	mc
8680	June	june	npm1_np1@
8681	victories	victory	nn2
8682	ends	end	vvz
8683	meaning	mean	vvg_nn1
8684	interviewed	interview	vvn
8686	tours	tour	nn2
8687	testify	testify	vvi
8688	watched	watch	vvn
8689	developing	developing	jj
8690	diamond	diamond	nn1
8691	off	off	ii21
8692	separately	separately	rr
8693	shift	shift	nn1@_vv0
8694	Welcome	welcome	vv0_nn1
8695	end	end	nn1_vv0
8696	Corp.	corp	np1
8697	Researchers	researcher	nn2
8698	electronics	electronics	nn1
8699	objective	objective	nn1
8700	Town	town	nn1
8701	facilitate	facilitate	vvi
8702	gods	god	nn2
8703	Sara	sara	np1
8704	Analysis	analysis	nn1
8705	elite	elite	nn1_jj@
8706	meanings	meaning	nn2
8707	Week	week	nnt1
8708	utterly	utterly	rr
8709	useless	useless	jj
8710	harder	hard	jjr_rrr
8711	1920s	1920s	mc2
8712	mind	mind	vv0
8713	slices	slice	nn2
8714	calendar	calendar	nn1
8715	allowed	allow	vvn_vvd
8716	Professor	professor	nn1
8717	waved	wave	vvd
8718	than	than	cs22@_ii22
8719	recognizes	recognize	vvz
8720	sweater	sweater	nn1
8721	alike	alike	rr_jj
8722	Soviets	soviet	nn2
8723	Golf	golf	nn1
8724	acknowledges	acknowledge	vvz
8725	prospective	prospective	jj
8726	le	le	fw
8727	protests	protest	nn2
8728	undergraduate	undergraduate	nn1
8729	infections	infection	nn2
8730	this	this	rg%_dd1
8731	cares	care	vvz
8732	phenomena	phenomenon	nn2
